time,open,high,low,close,volume
2022-01-19 09:00:00,133.05,133.05,133.05,133.05,698
2022-01-19 08:45:00,133.05,133.05,133.05,133.05,200
2022-01-19 08:30:00,133.1,133.1,133.1,133.1,545
2022-01-19 07:30:00,132.81,132.81,132.81,132.81,200
2022-01-19 07:15:00,132.81,132.81,132.81,132.81,235
2022-01-19 07:00:00,133.0,133.0,133.0,133.0,348
2022-01-19 05:15:00,132.63,132.63,132.63,132.63,400
2022-01-19 04:45:00,132.65,132.65,132.65,132.65,235
2022-01-18 19:30:00,132.71,132.71,132.71,132.71,100
2022-01-18 18:15:00,132.95,132.95,132.95,132.95,296
2022-01-18 17:45:00,132.95,132.95,132.95,132.95,201
2022-01-18 17:30:00,132.79,132.79,132.72,132.72,308
2022-01-18 17:15:00,132.7,132.7,132.7,132.7,250
2022-01-18 17:00:00,132.94,132.94,132.94,132.94,2447
2022-01-18 16:30:00,133.25,133.25,133.25,133.25,250
2022-01-18 16:15:00,132.94,132.94,132.94,132.94,367993
2022-01-18 16:00:00,132.77,133.11,132.72,132.97,564555
2022-01-18 15:45:00,133.0,133.085,132.77,132.77,212208
2022-01-18 15:30:00,133.15,133.16,132.8657,133.01,159105
2022-01-18 15:15:00,133.35,133.41,133.13,133.14,93317
2022-01-18 15:00:00,133.23,133.52,133.16,133.37,101114
2022-01-18 14:45:00,133.34,133.53,133.24,133.24,115551
2022-01-18 14:30:00,133.09,133.36,133.08,133.355,127226
2022-01-18 14:15:00,133.62,133.7,133.11,133.11,98321
2022-01-18 14:00:00,133.47,133.7199,133.46,133.62,100702
2022-01-18 13:45:00,133.26,133.49,133.24,133.49,72712
2022-01-18 13:30:00,133.38,133.62,133.1222,133.27,83173
2022-01-18 13:15:00,133.1,133.41,133.1,133.38,101764
2022-01-18 13:00:00,133.13,133.13,132.95,133.1,60587
2022-01-18 12:45:00,133.06,133.25,132.92,133.09,89352
2022-01-18 12:30:00,133.42,133.42,132.93,133.07,66829
2022-01-18 12:15:00,133.46,133.49,133.17,133.3904,96381
2022-01-18 12:00:00,133.24,133.6,133.17,133.44,83984
2022-01-18 11:45:00,133.64,133.64,132.99,133.2378,115675
2022-01-18 11:30:00,133.43,133.6999,133.39,133.67,107048
2022-01-18 11:15:00,133.32,133.64,133.2378,133.44,117308
2022-01-18 11:00:00,132.88,133.35,132.58,133.33,104469
2022-01-18 10:45:00,132.6796,132.97,132.62,132.85,108574
2022-01-18 10:30:00,132.15,132.72,131.78,132.67,207691
2022-01-18 10:15:00,132.93,132.965,132.09,132.12,186155
2022-01-18 10:00:00,132.99,133.26,132.6,132.91,186791
2022-01-18 09:45:00,132.95,133.89,132.9,132.95,457513
2022-01-18 09:30:00,132.96,133.0,132.68,132.89,2234
2022-01-18 09:15:00,132.54,133.0,132.54,132.99,2863
2022-01-18 09:00:00,132.81,132.81,132.8,132.8,589
2022-01-18 08:45:00,133.6,133.6,132.87,132.87,8177
2022-01-18 08:30:00,133.57,133.57,133.57,133.57,149
2022-01-18 08:15:00,134.0,134.0,133.28,133.34,2949
2022-01-18 07:45:00,133.52,133.53,133.52,133.52,883
2022-01-18 07:15:00,133.69,133.69,133.41,133.5,1263
2022-01-18 05:45:00,133.42,133.42,133.27,133.27,759
2022-01-18 04:30:00,133.01,133.01,133.01,133.01,170
2022-01-18 04:15:00,133.49,133.49,133.37,133.37,540
2022-01-14 20:00:00,134.22,134.22,134.22,134.22,470
2022-01-14 19:30:00,134.22,134.2201,134.22,134.2201,322
2022-01-14 19:00:00,134.2201,134.2201,134.2201,134.2201,127
2022-01-14 17:00:00,134.21,134.21,133.94,133.94,1162
2022-01-14 16:30:00,134.21,134.21,134.21,134.21,250
2022-01-14 16:15:00,134.21,134.21,134.21,134.21,67114
2022-01-14 16:00:00,134.22,134.37,134.05,134.21,468711
2022-01-14 15:45:00,133.94,134.24,133.87,134.22,187985
2022-01-14 15:30:00,134.12,134.36,133.89,133.93,108205
2022-01-14 15:15:00,133.98,134.2,133.91,134.104,105535
2022-01-14 15:00:00,133.7,134.05,133.63,133.98,91219
2022-01-14 14:45:00,133.7,133.92,133.67,133.68,175057
2022-01-14 14:30:00,134.02,134.075,133.665,133.68,128921
2022-01-14 14:15:00,133.81,134.15,133.785,134.0,109061
2022-01-14 14:00:00,133.98,134.0,133.69,133.8,110084
2022-01-14 13:45:00,133.995,134.1,133.73,134.0,80145
2022-01-14 13:30:00,133.69,134.04,133.64,134.0,110586
2022-01-14 13:15:00,133.94,133.99,133.3,133.7,192164
2022-01-14 13:00:00,133.74,134.0,133.54,133.955,203972
2022-01-14 12:45:00,133.96,134.17,133.73,133.75,261626
2022-01-14 12:30:00,134.67,134.6939,133.88,133.96,251207
2022-01-14 12:15:00,134.89,134.9,134.631,134.67,139672
2022-01-14 12:00:00,134.935,135.14,134.88,134.89,149112
2022-01-14 11:45:00,134.65,134.98,134.4462,134.91,102308
2022-01-14 11:30:00,134.66,134.88,134.461,134.61,107456
2022-01-14 11:15:00,134.85,135.04,134.53,134.68,137584
2022-01-14 11:00:00,134.265,134.89,134.14,134.8511,228453
2022-01-14 10:45:00,134.24,134.37,133.95,134.25,110818
2022-01-14 10:30:00,134.01,134.26,133.5666,134.2262,135385
2022-01-14 10:15:00,133.73,134.25,133.54,134.01,239458
2022-01-14 10:00:00,134.045,134.55,133.3801,133.71,267397
2022-01-14 09:45:00,134.55,134.58,133.53,134.04,340880
2022-01-14 09:30:00,134.3,134.3,134.0,134.2,4291
2022-01-14 09:15:00,134.2,134.2,133.87,133.87,3621
2022-01-14 09:00:00,134.57,134.57,134.27,134.2701,1047
2022-01-14 08:45:00,134.25,134.25,134.16,134.25,878
2022-01-14 08:30:00,134.2,134.54,134.2,134.54,637
2022-01-14 08:15:00,134.68,134.68,134.68,134.68,244
2022-01-14 08:00:00,134.13,134.51,134.13,134.5,761
2022-01-14 07:15:00,134.55,134.55,134.55,134.55,106
2022-01-14 07:00:00,134.76,134.76,134.76,134.76,405
2022-01-14 06:45:00,134.54,134.54,134.54,134.54,610
2022-01-13 19:00:00,134.6,134.6,134.6,134.6,301
2022-01-13 18:45:00,134.87,134.87,134.87,134.87,225
2022-01-13 18:30:00,134.87,134.87,134.87,134.87,200
2022-01-13 18:15:00,134.65,134.72,134.65,134.72,648
2022-01-13 17:45:00,134.7,134.7,134.7,134.7,663
2022-01-13 17:00:00,134.75,135.0,134.74,134.87,1259
2022-01-13 16:45:00,134.6,134.75,134.6,134.75,523
2022-01-13 16:15:00,134.76,134.76,134.76,134.76,89569
2022-01-13 16:00:00,134.762,134.82,134.37,134.77,581846
2022-01-13 15:45:00,134.8,135.02,134.64,134.76,244406
2022-01-13 15:30:00,134.9,135.03,134.785,134.81,149334
2022-01-13 15:15:00,135.39,135.39,134.8,134.93,128443
2022-01-13 15:00:00,135.24,135.42,135.13,135.39,81875
2022-01-13 14:45:00,135.46,135.51,135.12,135.2497,89947
2022-01-13 14:30:00,135.39,135.56,135.14,135.48,101171
2022-01-13 14:15:00,135.4576,135.46,135.19,135.38,87145
2022-01-13 14:00:00,135.09,135.45,135.0706,135.45,70644
2022-01-13 13:45:00,134.92,135.14,134.91,135.08,93342
2022-01-13 13:30:00,134.895,135.17,134.845,134.94,105534
2022-01-13 13:15:00,134.605,135.085,134.54,134.9198,114959
2022-01-13 13:00:00,134.95,135.12,134.545,134.605,138099
2022-01-13 12:45:00,134.675,135.17,134.55,134.95,116222
2022-01-13 12:30:00,135.02,135.02,134.45,134.69,130697
2022-01-13 12:15:00,135.525,135.53,135.025,135.025,134665
2022-01-13 12:00:00,135.26,135.56,135.17,135.52,109138
2022-01-13 11:45:00,135.23,135.53,135.23,135.26,162204
2022-01-13 11:30:00,135.86,136.05,135.15,135.19,167207
2022-01-13 11:15:00,135.2,135.92,135.18,135.84,221990
2022-01-13 11:00:00,135.43,135.44,134.86,135.18,137434
2022-01-13 10:45:00,134.6525,135.52,134.647,135.41,193656
2022-01-13 10:30:00,134.14,134.74,134.02,134.67,129203
2022-01-13 10:15:00,134.45,134.8,133.9,134.16,178898
2022-01-13 10:00:00,134.7422,134.94,134.1989,134.45,222149
2022-01-13 09:45:00,133.9,135.27,133.56,134.715,334137
2022-01-13 09:30:00,133.5,133.5,133.377,133.377,301
2022-01-13 09:15:00,133.84,133.84,133.5,133.5,849
2022-01-13 09:00:00,133.55,133.55,133.45,133.45,607
2022-01-13 07:15:00,133.8,133.8,133.44,133.44,837
2022-01-13 06:30:00,133.66,133.66,133.66,133.66,105
2022-01-12 20:00:00,133.4,133.4,133.4,133.4,351
2022-01-12 18:00:00,133.55,133.55,133.55,133.55,100
2022-01-12 17:30:00,133.98,133.98,133.98,133.98,600
2022-01-12 17:00:00,133.6,133.86,133.59,133.86,2550
2022-01-12 16:30:00,133.86,133.86,133.55,133.55,681
2022-01-12 16:15:00,133.59,133.59,133.59,133.59,353157
2022-01-12 16:00:00,133.545,133.72,133.45,133.61,338714
2022-01-12 15:45:00,133.28,133.55,133.21,133.54,154833
2022-01-12 15:30:00,133.16,133.345,133.15,133.28,115781
2022-01-12 15:15:00,132.82,133.1562,132.77,133.1562,160467
2022-01-12 15:00:00,133.04,133.04,132.806,132.81,156159
2022-01-12 14:45:00,133.18,133.21,132.95,133.04,129020
2022-01-12 14:30:00,133.175,133.24,133.09,133.1642,217810
2022-01-12 14:15:00,133.07,133.24,132.975,133.19,105176
2022-01-12 14:00:00,133.26,133.29,132.89,133.085,108556
2022-01-12 13:45:00,133.36,133.505,133.2,133.25,127589
2022-01-12 13:30:00,133.17,133.42,133.0853,133.35,118159
2022-01-12 13:15:00,133.155,133.25,133.005,133.185,110730
2022-01-12 13:00:00,132.71,133.27,132.71,133.155,91428
2022-01-12 12:45:00,132.83,132.9138,132.62,132.7,106223
